evaluation,loss
0,0.014483642578125
1,0.01566162109375
2,0.031591796875
3,0.020660400390625
4,0.02957763671875
5,0.003009033203125
6,0.000634765625
7,0.001666259765625
8,0.0004638671875
9,0.004730224609375
10,0.001123046875
11,0.000396728515625
12,0.00020751953125
13,0.00028076171875
14,0.001068115234375
15,0.000189208984375
16,0.000250244140625
17,0.00045166015625
18,0.0002197265625
19,0.0002685546875
20,0.000201416015625
21,0.00018310546875
22,0.00018310546875
23,0.000201416015625
24,0.000189208984375
25,0.00018310546875
26,0.000201416015625
27,0.00018310546875
28,0.00018310546875
29,0.00018310546875
30,0.00018310546875
31,0.00018310546875
32,0.00018310546875
33,0.00018310546875
34,0.00018310546875
35,0.00018310546875
36,0.00018310546875
37,0.00018310546875
38,0.00018310546875
39,0.00018310546875
40,0.00018310546875
41,0.00018310546875
42,0.00018310546875
43,0.00018310546875
44,0.00018310546875
45,0.00018310546875
46,0.00018310546875
